,sofifa_id,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,height_cm
25,192505,R. Lukaku,Romelu Lukaku Menama,ST,88,88,93500000.0,260000.0,28,191
26,193041,K. Navas,Keylor Navas Gamboa,GK,88,88,15500000.0,130000.0,34,185
27,202652,R. Sterling,Raheem Sterling,"LW, RW",88,89,107500000.0,290000.0,26,170
28,212198,Bruno Fernandes,Bruno Miguel Borges Fernandes,CAM,88,89,107500000.0,250000.0,26,179
29,239085,E. Haaland,Erling Braut Haaland,ST,88,93,137500000.0,110000.0,20,194
30,153079,S. Agüero,Sergio Leonel Agüero del Castillo,ST,87,87,51000000.0,260000.0,33,173
31,167948,H. Lloris,Hugo Lloris,GK,87,87,13500000.0,125000.0,34,188
32,177003,L. Modrić,Luka Modrić,CM,87,87,32000000.0,190000.0,35,172
33,183898,Á. Di María,Ángel Fabián Di María Hernández,"RW, LW",87,87,49500000.0,160000.0,33,180
34,186153,W. Szczęsny,Wojciech Tomasz Szczęsny,GK,87,87,42000000.0,105000.0,31,195
35,189596,T. Müller,Thomas Müller,"CAM, RM, RW",87,87,66000000.0,140000.0,31,185
36,192387,C. Immobile,Ciro Immobile,ST,87,87,67500000.0,125000.0,31,185
37,195864,P. Pogba,Paul Pogba,"CM, LM",87,87,79500000.0,220000.0,28,191
38,199556,M. Verratti,Marco Verratti,"CM, CAM",87,87,79500000.0,155000.0,28,165
39,207865,Marquinhos,Marcos Aoás Corrêa,"CB, CDM",87,90,90500000.0,135000.0,27,183
40,209658,L. Goretzka,Leon Christoph Goretzka,"CM, CDM",87,88,93000000.0,140000.0,26,189
41,211110,P. Dybala,Paulo Bruno Exequiel Dybala,"CF, CAM",87,88,93000000.0,160000.0,27,177
42,216267,A. Robertson,Andrew Robertson,LB,87,88,83500000.0,175000.0,27,178
43,228702,F. de Jong,Frenkie de Jong,"CM, CDM, CB",87,92,119500000.0,210000.0,24,180
44,231281,T. Alexander-Arnold,Trent Alexander-Arnold,RB,87,92,114000000.0,150000.0,22,180
45,233049,J. Sancho,Jadon Sancho,"RM, CF, LM",87,91,116500000.0,150000.0,21,180
46,239818,Rúben Dias,Rúben dos Santos Gato Alves Dias,CB,87,91,102500000.0,170000.0,24,187
47,138956,G. Chiellini,Giorgio Chiellini,CB,86,86,12000000.0,88000.0,36,187
48,162835,S. Handanovič,Samir Handanovič,GK,86,86,7500000.0,78000.0,36,193
49,178603,M. Hummels,Mats Hummels,CB,86,86,44000000.0,95000.0,32,191
50,189332,Jordi Alba,Jordi Alba Ramos,"LB, LM",86,86,47000000.0,200000.0,32,170
51,189509,Thiago,Thiago Alcântara do Nascimento,"CM, CDM",86,86,65000000.0,180000.0,30,174
52,189511,Sergio Busquets,Sergio Busquets i Burgos,"CDM, CM",86,86,45000000.0,200000.0,32,189
53,189513,Parejo,Daniel Parejo Muñoz,CM,86,86,53500000.0,64000.0,32,182
54,192984,K. Casteels,Koen Casteels,GK,86,87,52000000.0,88000.0,29,197
55,198219,L. Insigne,Lorenzo Insigne,"LW, CF",86,86,65500000.0,125000.0,30,163
56,201024,K. Koulibaly,Kalidou Koulibaly,CB,86,86,55500000.0,105000.0,30,187
57,201535,R. Varane,Raphaël Varane,CB,86,88,68500000.0,180000.0,28,191
58,204485,R. Mahrez,Riyad Mahrez,"RW, RM",86,86,65500000.0,220000.0,30,179
59,208093,Gerard Moreno,Gerard Moreno Balagueró,"ST, RM, RW",86,86,68000000.0,73000.0,29,180
60,208830,J. Vardy,Jamie Vardy,ST,86,86,33000000.0,180000.0,34,179
61,209499,Fabinho,Fábio Henrique Tavares,"CDM, CB",86,88,73500000.0,165000.0,27,188
62,210514,João Cancelo,João Pedro Cavaco Cancelo,"RB, LB",86,87,71500000.0,185000.0,27,182
63,212218,A. Laporte,Aymeric Laporte,CB,86,89,77000000.0,185000.0,27,191
64,213345,K. Coman,Kingsley Junior Coman,"LM, RM, LW",86,87,81000000.0,120000.0,25,180
65,218667,Bernardo Silva,Bernardo Mota Veiga de Carvalho e Silva,"CAM, CM, RW",86,87,80000000.0,200000.0,26,173
66,226161,Marcos Llorente,Marcos Llorente Moreno,"CM, RM, ST",86,89,88000000.0,95000.0,26,184
67,231866,Rodri,Rodrigo Hernández Cascante,CDM,86,89,81000000.0,175000.0,25,191
68,232363,M. Škriniar,Milan Škriniar,CB,86,88,74000000.0,150000.0,26,188
69,143076,A. Gómez,Alejandro Darío Gómez,"CAM, CF, CM",85,85,33500000.0,51000.0,33,167
70,163587,K. Schmeichel,Kasper Peter Schmeichel,GK,85,85,9000000.0,115000.0,34,189
71,164240,Thiago Silva,Thiago Emiliano da Silva,CB,85,85,9500000.0,105000.0,36,183
72,168542,David Silva,David Josué Jiménez Silva,"CAM, CM",85,85,22000000.0,44000.0,35,173
73,177683,Y. Sommer,Yann Sommer,GK,85,85,26500000.0,40000.0,32,183
74,179813,E. Cavani,Edinson Roberto Cavani Gómez,ST,85,85,26000000.0,190000.0,34,185
75,183277,E. Hazard,Eden Hazard,LW,85,85,52000000.0,240000.0,30,175
76,184344,L. Bonucci,Leonardo Bonucci,CB,85,85,17500000.0,110000.0,34,190
77,185122,P. Gulácsi,Péter Gulácsi,GK,85,85,28500000.0,87000.0,31,191
78,186942,İ. Gündoğan,İlkay Gündoğan,"CM, CDM",85,85,51500000.0,185000.0,30,180
79,188350,M. Reus,Marco Reus,"CAM, CF",85,85,43000000.0,95000.0,32,180
80,188377,K. Walker,Kyle Walker,RB,85,85,39000000.0,170000.0,31,183
81,188567,P. Aubameyang,Pierre-Emerick Emiliano François Aubameyang,"ST, LW, LM",85,85,43500000.0,145000.0,32,187
82,193747,Koke,Jorge Resurrección Merodio,"CM, CDM",85,85,52500000.0,90000.0,29,176
83,194765,A. Griezmann,Antoine Griezmann,"ST, LW, RW",85,85,53000000.0,220000.0,30,176
84,198176,S. de Vrij,Stefan de Vrij,CB,85,85,45000000.0,145000.0,29,189
85,201942,Roberto Firmino,Roberto Firmino Barbosa de Oliveira,CF,85,85,54000000.0,185000.0,29,181
86,202556,M. Depay,Memphis Depay,"CF, LW, CAM",85,86,63000000.0,220000.0,27,176
87,204963,Carvajal,Daniel Carvajal Ramos,RB,85,85,47500000.0,210000.0,29,173
88,205498,Jorginho,Luiz Frello Filho Jorge,"CM, CDM",85,85,52500000.0,170000.0,29,180
89,206113,S. Gnabry,Serge David Gnabry,"RM, LM, RW",85,86,64500000.0,110000.0,25,176
90,223848,S. Milinković-Savić,Sergej Milinković-Savić,"CM, CDM, CAM",85,87,66000000.0,100000.0,26,191
91,226790,W. Ndidi,Onyinye Wilfred Ndidi,"CDM, CM",85,88,66500000.0,120000.0,24,183
92,230142,Oyarzabal,Mikel Oyarzabal Ugarte,"LW, RW",85,89,77500000.0,57000.0,24,181
93,231478,L. Martínez,Lautaro Javier Martínez,ST,85,89,78000000.0,145000.0,23,174
94,231677,M. Rashford,Marcus Rashford,"LM, ST",85,89,77500000.0,150000.0,23,186
95,235212,A. Hakimi,Achraf Hakimi Mouh,"RB, RWB",85,88,69500000.0,100000.0,22,181
96,235243,M. de Ligt,Matthijs de Ligt,CB,85,90,75000000.0,81000.0,21,189
97,41236,Z. Ibrahimović,Zlatan Ibrahimović,ST,84,84,14500000.0,51000.0,39,195
98,146536,Jesús Navas,Jesús Navas González,"RB, RM",84,84,13000000.0,30000.0,35,172
99,152729,Piqué,Gerard Piqué Bernabéu,CB,84,84,13500000.0,175000.0,34,194
100,175943,D. Mertens,Dries Mertens,"CF, ST, CAM",84,84,20500000.0,105000.0,34,169
101,181291,G. Wijnaldum,Georginio Wijnaldum,"CM, CDM",84,84,40500000.0,115000.0,30,175
102,183711,J. Henderson,Jordan Henderson,"CDM, CM",84,84,29500000.0,140000.0,31,182
103,184134,Fernando,Fernando Francisco Reges,"CDM, CM",84,84,21000000.0,43000.0,33,183
104,186345,K. Trippier,Kieran Trippier,"RB, RWB, RM",84,84,36500000.0,74000.0,30,173
105,192629,Iago Aspas,Iago Aspas Juncal,"ST, RW",84,84,27000000.0,46000.0,33,176
106,193080,De Gea,David De Gea Quintana,GK,84,84,28000000.0,120000.0,30,192
107,197445,D. Alaba,David Olatukunbo Alaba,"CB, LB",84,84,35500000.0,195000.0,29,180
108,198706,Luis Alberto,Luis Alberto Romero Alconchel,"CAM, CM, CF",84,84,42500000.0,95000.0,28,183
109,199434,D. Tadić,Dušan Tadić,"LW, CF, CAM",84,84,33500000.0,32000.0,32,181
110,199451,W. Ben Yedder,Wissam Ben Yedder,ST,84,84,41500000.0,88000.0,30,170
111,200458,L. Digne,Lucas Digne,LB,84,84,40500000.0,110000.0,27,178
112,200647,J. Iličić,Josip Iličić,"CF, ST",84,84,27000000.0,84000.0,33,190
113,202811,E. Martínez,Damián Emiliano Martínez,GK,84,85,33500000.0,81000.0,28,195
114,203263,H. Maguire,Harry Maguire,CB,84,86,42500000.0,155000.0,28,194
115,204639,S. Savić,Stefan Savić,CB,84,84,34500000.0,74000.0,30,187
116,204923,M. Sabitzer,Marcel Sabitzer,"CM, CDM, CAM",84,85,48000000.0,110000.0,27,178
117,205988,L. Shaw,Luke Shaw,LB,84,86,48500000.0,140000.0,25,181
118,206517,J. Grealish,Jack Grealish,"LW, LM, CAM",84,85,50500000.0,180000.0,25,180
119,207862,M. Ginter,Matthias Ginter,CB,84,85,42500000.0,45000.0,27,191
120,207863,Felipe,Felipe Augusto de Almeida Monteiro,CB,84,84,27500000.0,74000.0,32,190
121,208418,Y. Carrasco,Yannick Ferreira Carrasco,"LM, ST",84,84,45000000.0,81000.0,27,185
122,208574,F. Kostić,Filip Kostić,"LM, LWB",84,84,42500000.0,52000.0,28,184
123,208670,H. Ziyech,Hakim Ziyech,"RW, CAM",84,84,42500000.0,170000.0,28,181
124,209889,R. Guerreiro,Raphaël Adelino José Guerreiro,"LB, LM",84,84,40500000.0,79000.0,27,170
125,210243,Ricardo Pereira,Ricardo Domingos Barbosa Pereira,"RB, RM",84,84,40500000.0,130000.0,27,175
126,212188,T. Werner,Timo Werner,"ST, LW",84,87,56500000.0,155000.0,25,180
127,215698,M. Maignan,Mike Maignan,GK,84,89,49500000.0,45000.0,25,191
128,216352,M. Brozović,Marcelo Brozović,"CDM, CM",84,84,37000000.0,130000.0,28,181
129,216393,Y. Tielemans,Youri Tielemans,"CM, CDM",84,87,57000000.0,125000.0,24,176
130,216460,J. Giménez,José María Giménez de Vargas,CB,84,88,52000000.0,74000.0,26,185
131,216594,N. Fekir,Nabil Fekir,"CAM, RM, ST",84,84,45000000.0,42000.0,27,173
132,222492,L. Sané,Leroy Aziz Sané,"RM, LM",84,87,56000000.0,105000.0,25,183
133,224232,N. Barella,Nicolò Barella,CM,84,89,63500000.0,120000.0,24,172
134,224334,M. Acuña,Marcos Javier Acuña,"LB, LM",84,84,37000000.0,45000.0,29,172
135,228941,André Silva,André Miguel Valente da Silva,ST,84,85,51000000.0,110000.0,25,185
136,230938,F. Kessié,Franck Yannick Kessié,"CDM, CM",84,86,49500000.0,51000.0,24,183
137,232656,T. Hernández,Theo Bernard François Hernández,LB,84,90,62500000.0,51000.0,23,184
138,235790,K. Havertz,Kai Lukas Havertz,"CAM, CF, CM",84,92,94500000.0,130000.0,22,188
139,237692,P. Foden,Philip Foden,"CAM, LW, CM",84,92,94500000.0,125000.0,21,171
140,135507,Fernandinho,Fernando Luiz Rosa,"CDM, CB",83,83,7000000.0,100000.0,36,179
141,169416,C. Vela,Carlos Alberto Vela Garrido,"RW, LW, CAM",83,83,29000000.0,17000.0,32,177
142,177413,A. Witsel,Axel Witsel,"CDM, CM",83,83,24000000.0,72000.0,32,186
143,178750,Sergio Asenjo,Sergio Asenjo Andrés,GK,83,83,18000000.0,37000.0,32,189
144,179645,S. Kjær,Simon Thorup Kjær,CB,83,83,23500000.0,54000.0,32,190
145,180930,E. Džeko,Edin Džeko,ST,83,83,15500000.0,105000.0,35,193
146,183907,J. Boateng,Jérôme Boateng,CB,83,83,23500000.0,81000.0,32,190
147,184087,T. Alderweireld,Toby Alderweireld,CB,83,83,,,32,186
148,184432,Azpilicueta,César Azpilicueta Tanco,"CB, RWB",83,83,25000000.0,125000.0,31,178
149,187961,Paulinho,José Paulo Bezzera Maciel Júnior,"CM, CAM, CDM",83,83,28500000.0,61000.0,32,183
150,189575,Muniain,Iker Muniain Goñi,"CAM, RM, LM",83,83,36500000.0,44000.0,28,170
151,190286,Canales,Sergio Canales Madrazo,"CM, CDM, LM",83,83,34500000.0,38000.0,30,176
152,190941,L. Hrádecký,Lukáš Hrádecký,GK,83,83,19000000.0,55000.0,31,192
153,191043,Alex Sandro,Alex Sandro Lobo Silva,"LB, LM",83,83,31500000.0,95000.0,30,180
154,192563,B. Leno,Bernd Leno,GK,83,84,28000000.0,87000.0,29,190
155,192774,K. Manolas,Konstantinos Manolas,CB,83,83,30000000.0,80000.0,30,189
156,192883,H. Mkhitaryan,Henrikh Mkhitaryan,"CF, RM, RW",83,83,29500000.0,82000.0,32,177
157,193082,J. Cuadrado,Juan Guillermo Cuadrado Bello,"RB, RM",83,83,19000000.0,95000.0,33,179
158,197061,J. Matip,Joël Andre Job Matip,CB,83,83,30500000.0,130000.0,29,194
159,197655,S. Coates,Sebastián Coates Nión,CB,83,83,30000000.0,21000.0,30,196
160,199845,F. Acerbi,Francesco Acerbi,CB,83,83,17500000.0,75000.0,33,192
161,199914,Allan,Allan Marques Loureiro,"CDM, CM",83,83,30500000.0,100000.0,30,175
162,200610,K. Volland,Kevin Volland,"ST, CF",83,83,37000000.0,83000.0,28,179
163,201153,Morata,Álvaro Borja Morata Martín,ST,83,83,37000000.0,84000.0,28,190
164,201399,M. Icardi,Mauro Emanuel Icardi Rivero,ST,83,83,37000000.0,120000.0,28,181
165,202884,L. Spinazzola,Leonardo Spinazzola,"LWB, LB, LM",83,83,33000000.0,72000.0,28,186
166,203574,J. Stones,John Stones,CB,83,86,41000000.0,140000.0,27,188
167,203841,N. Pope,Nick Pope,GK,83,83,25000000.0,45000.0,29,199
168,204838,R. Jiménez,Raúl Alonso Jiménez Rodríguez,ST,83,83,35500000.0,120000.0,30,188
169,204935,J. Pickford,Jordan Pickford,GK,83,85,33000000.0,83000.0,27,185
170,205452,A. Rüdiger,Antonio Rüdiger,CB,83,84,34500000.0,130000.0,28,190
171,205632,L. Ocampos,Lucas Ariel Ocampos,"LW, RW",83,83,39500000.0,46000.0,26,188
172,207410,M. Kovačić,Mateo Kovačić,"CM, CDM",83,84,41500000.0,135000.0,27,176
173,209989,T. Partey,Thomas Partey,"CM, CDM",83,83,36500000.0,115000.0,28,185
174,211688,Gayà,José Luís Gayà Peña,"LB, LWB, LM",83,86,43500000.0,48000.0,26,172
175,213565,T. Lemar,Thomas Lemar,"LM, CM, RM",83,86,48000000.0,71000.0,25,171
176,213648,P. Højbjerg,Pierre-Emile Kordt Højbjerg,"CDM, CM",83,86,43500000.0,105000.0,25,185
177,214997,Á. Correa,Ángel Martín Correa,"ST, RM",83,86,48000000.0,80000.0,26,171
178,215333,D. Zapata,Duván Esteban Zapata Banguera,ST,83,83,35500000.0,77000.0,30,189
179,216354,A. Kramarić,Andrej Kramarić,"ST, CAM",83,83,35500000.0,59000.0,30,177
180,220651,Angeliño,José Ángel Esmoris Tasende,"LWB, LM",83,86,46000000.0,77000.0,24,175
181,220814,L. Hernández,Lucas François Bernard Hernández Pi,"LB, CB",83,86,44500000.0,85000.0,25,184
182,220834,Marco Asensio,Marco Asensio Willemsen,"RW, LW",83,86,48000000.0,190000.0,25,182
183,223689,W. Weghorst,Wout Weghorst,ST,83,83,37000000.0,95000.0,28,197
184,223697,R. Gosens,Robin Everardus Gosens,"LWB, LB, LM",83,83,36000000.0,65000.0,26,183
185,225193,Merino,Mikel Merino Zazón,CM,83,87,50000000.0,47000.0,25,189
186,225850,P. Kimpembe,Presnel Kimpembe,CB,83,87,45500000.0,90000.0,25,189
187,228618,F. Mendy,Ferland Mendy,LB,83,86,43500000.0,170000.0,26,180
188,229880,A. Wan-Bissaka,Aaron Wan-Bissaka,RB,83,87,48500000.0,115000.0,23,183
189,230481,Ronaldo Cabrais,Ronaldo Jailson Cabrais Petri,"CAM, RM",83,83,35500000.0,49000.0,29,177
190,230658,Arthur,Arthur Henrique Ramos de Oliveira Melo,CM,83,85,47000000.0,90000.0,24,171
191,230666,Gabriel Jesus,Gabriel Fernando de Jesus,ST,83,87,52500000.0,150000.0,24,175
192,231443,O. Dembélé,Ousmane Dembélé,RW,83,88,55000000.0,165000.0,24,178
193,233064,M. Mount,Mason Mount,"CAM, CM, RW",83,89,58500000.0,120000.0,22,178
194,234642,É. Mendy,Édouard Mendy,GK,83,85,30000000.0,105000.0,29,197
195,235805,F. Chiesa,Federico Chiesa,"RW, LW, RM",83,91,80500000.0,74000.0,23,175
196,239053,F. Valverde,Federico Santiago Valverde Dipetta,CM,83,89,58000000.0,160000.0,22,182
197,241486,J. Koundé,Jules Koundé,CB,83,89,53000000.0,33000.0,22,181
198,242444,João Félix,João Félix Sequeira,"CF, ST",83,91,82000000.0,61000.0,21,181
199,120533,Pepe,Kléper Laveran de Lima Ferreira,CB,82,82,5500000.0,14000.0,38,188
200,157481,Raúl Albiol,Raúl Albiol Tortajada,CB,82,82,8000000.0,30000.0,35,190
201,164835,Ł. Fabiański,Łukasz Fabiański,GK,82,82,3400000.0,43000.0,36,190
202,168435,S. Sirigu,Salvatore Sirigu,GK,82,82,5000000.0,20000.0,34,192
203,168651,I. Rakitić,Ivan Rakitić,CM,82,82,18500000.0,39000.0,33,184
204,173731,G. Bale,Gareth Frank Bale,"RM, RW",82,82,25000000.0,170000.0,31,185
205,178005,Rui Patrício,Rui Pedro dos Santos Patrício,GK,82,82,10000000.0,51000.0,33,190
206,178562,É. Banega,Éver Maximiliano David Banega,"CDM, CM",82,82,15000000.0,46000.0,33,174
207,180206,M. Pjanić,Miralem Pjanić,CM,82,82,25000000.0,155000.0,31,178
208,183512,Yuri Berchiche,Yuri Berchiche Izeta,LB,82,82,22000000.0,35000.0,31,181
209,187072,L. Stindl,Lars Edi Stindl,"CAM, ST",82,82,24000000.0,41000.0,32,181
210,188152,Oscar,Oscar dos Santos Emboaba Júnior,"CAM, CM, LW",82,82,30000000.0,38000.0,29,179
211,188943,K. Trapp,Kevin Trapp,GK,82,82,20500000.0,31000.0,30,189
212,189242,Coutinho,Philippe Coutinho Correia,"CAM, LW, CM",82,82,30000000.0,165000.0,29,172
213,190460,C. Eriksen,Christian Dannemann Eriksen,"CM, CAM",82,82,29500000.0,120000.0,29,181
214,190815,D. Blind,Daley Blind,"CB, CDM, LB",82,82,21000000.0,23000.0,31,180
215,192318,M. Götze,Mario Götze,"CAM, CM",82,82,30000000.0,29000.0,29,177
216,193105,A. Areola,Alphonse Areola,GK,82,84,26000000.0,75000.0,28,195
217,193165,J. Corona,Jesús Manuel Corona Ruíz,"RM, RB, RW",82,82,30500000.0,22000.0,28,173
218,193301,A. Lacazette,Alexandre Lacazette,ST,82,82,30000000.0,110000.0,30,175
219,193474,I. Gueye,Idrissa Gana Gueye,"CDM, CM",82,82,21500000.0,88000.0,31,174
220,193525,Mário Fernandes,Mário Figueira Fernandes,RB,82,82,26500000.0,57000.0,30,187
221,193698,O. Baumann,Oliver Baumann,GK,82,82,16000000.0,37000.0,31,187
222,194404,Neto,Norberto Murara Neto,GK,82,82,16000000.0,115000.0,31,190
223,197781,Isco,Francisco Román Alarcón Suárez,"CAM, CM, LW",82,82,30000000.0,175000.0,29,176
224,198717,W. Zaha,Wilfried Zaha,"CF, LM, ST",82,82,31000000.0,85000.0,28,180
225,199110,L. Muriel,Luis Fernando Muriel Fruto,ST,82,82,30000000.0,70000.0,30,179
226,199482,A. Lopes,Anthony Lopes,GK,82,83,23000000.0,60000.0,30,184
227,199823,Campaña,José Ángel Gómez Campaña,"CM, LM, RM",82,82,30500000.0,43000.0,28,179
228,201305,Gabriel Paulista,Gabriel Armando de Abreu,CB,82,82,25000000.0,44000.0,30,185
229,201519,J. Veretout,Jordan Veretout,"CDM, CM",82,83,29500000.0,66000.0,28,177
230,202651,Suso,Jesús Joaquín Fernández Sáez de la Torre,RW,82,82,32500000.0,42000.0,27,176
231,203486,T. Hazard,Thorgan Hazard,"LM, CF",82,82,30500000.0,75000.0,28,175
232,205069,Juan Bernat,Juan Bernat Velasco,LB,82,82,27500000.0,90000.0,28,170
233,205070,Portu,Cristian Portugués Manzanera,"RW, RM, LW",82,82,30000000.0,51000.0,29,167
234,208128,H. Çalhanoğlu,Hakan Çalhanoğlu,"CAM, LM",82,83,35000000.0,115000.0,27,178
235,208333,E. Can,Emre Can,"CM, CB, CDM",82,83,35000000.0,72000.0,27,186
236,208421,Saúl,Saúl Ñíguez Esclápez,"CM, LM",82,85,39500000.0,68000.0,26,184
237,208461,M. de Roon,Marten Elco de Roon,"CDM, CM",82,82,25500000.0,59000.0,30,185
238,209981,Y. Bounou,Yassine Bounou,GK,82,82,20500000.0,29000.0,30,192
239,210035,Grimaldo,Alejandro Grimaldo García,"LB, LM, LWB",82,85,37000000.0,18000.0,25,171
240,210413,A. Romagnoli,Alessio Romagnoli,CB,82,83,31500000.0,49000.0,26,185
241,210935,D. Berardi,Domenico Berardi,"RW, RM",82,82,33500000.0,51000.0,26,183
242,211256,N. Tagliafico,Nicolás Alejandro Tagliafico,LB,82,82,27500000.0,24000.0,28,172
243,211515,P. Gollini,Pierluigi Gollini,GK,82,87,35000000.0,48000.0,26,194
244,212190,N. Süle,Niklas Süle,"CB, RB",82,87,40500000.0,78000.0,25,195
245,212462,Alex Telles,Alex Nicolao Telles,LB,82,82,27500000.0,130000.0,28,181
246,212523,Anderson Talisca,Anderson Souza Conceição,"CF, ST, CAM",82,83,35500000.0,61000.0,27,190
247,212616,R. De Paul,Rodrigo Javier De Paul,"CM, CF",82,83,35000000.0,68000.0,27,180
248,216547,Rafa,Rafael Alexandre Fernandes Ferreira da Silva,"RM, LM",82,82,30500000.0,22000.0,28,170
249,219693,Diego Carlos,Diego Carlos Santos Silva,CB,82,84,30500000.0,37000.0,28,185
250,220018,A. Rebić,Ante Rebić,"LM, ST",82,82,32500000.0,54000.0,27,185
251,220440,C. Lenglet,Clément Nicolas Laurent Lenglet,CB,82,86,37500000.0,145000.0,26,186
252,220697,J. Maddison,James Maddison,"CAM, CM",82,85,41500000.0,100000.0,24,175
253,222077,M. Locatelli,Manuel Locatelli,"CDM, CM",82,87,42000000.0,74000.0,23,185
254,222665,M. Ødegaard,Martin Ødegaard,"CAM, CM",82,88,49000000.0,89000.0,22,178
255,224293,Rúben Neves,Rúben Diogo da Silva Neves,CM,82,87,46000000.0,89000.0,24,180
256,224458,Diogo Jota,Diogo José Teixeira da Silva,"LW, ST",82,87,46000000.0,120000.0,24,178
257,225100,J. Gomez,Joe Gomez,CB,82,88,43500000.0,100000.0,24,188
258,226271,Fabián,Fabián Ruiz Peña,CM,82,86,42000000.0,77000.0,25,189
259,227796,C. Pulisic,Christian Mate Pulisic,"LW, RW, LM",82,88,49000000.0,120000.0,22,177
260,229391,Palhinha,João Maria Lobo Alves Palhinha Gonçalves,"CDM, CM",82,87,41000000.0,18000.0,25,190
261,229558,D. Upamecano,Dayotchanculle Oswald Upamecano,CB,82,90,64000000.0,70000.0,22,186
262,229668,Mario Hermoso,Mario Hermoso Canseco,"CB, LB",82,85,35500000.0,62000.0,26,185
263,229906,L. Bailey,Leon Bailey Butler,"RM, RW, LW",82,85,41500000.0,75000.0,23,178
264,229984,B. Chilwell,Ben Chilwell,"LWB, LB",82,86,40500000.0,100000.0,24,178
265,230168,Raphaelinho Anjos,Raphael William Anjos Rochedo,GK,82,82,10000000.0,20000.0,33,190
266,230375,Josué Chiamulera,Josué Durval Chiamulera Vaz,CB,82,82,25500000.0,41000.0,29,185
267,230869,Unai Simón,Unai Simón Mendibil,GK,82,86,34500000.0,24000.0,24,190
268,231943,Richarlison,Richarlison de Andrade,"ST, LW, LM",82,87,46500000.0,100000.0,24,181
269,232488,C. Romero,Cristian Gabriel Romero,CB,82,87,41500000.0,51000.0,23,185
270,233096,D. Dumfries,Denzel Justus Morris Dumfries,RB,82,84,35000000.0,100000.0,25,188
271,233419,Raphinha,Raphael Dias Belloli,"RM, RW",82,87,46000000.0,89000.0,24,176
272,233731,A. Isak,Alexander Isak,ST,82,86,45000000.0,37000.0,21,192
273,234378,D. Rice,Declan Rice,"CDM, CM",82,87,43000000.0,69000.0,22,185
274,234396,A. Davies,Alphonso Boyle Davies,"LB, LM",82,89,57000000.0,59000.0,20,183
275,234943,F. Neuhaus,Florian Christian Neuhaus,CM,82,87,46000000.0,36000.0,24,185
276,235410,Y. En-Nesyri,Youssef En-Nesyri,"ST, LW",82,86,44000000.0,37000.0,24,188
277,235569,T. Ndombele,Tanguy Ndombèlé Alvaro,"CAM, CM, CDM",82,87,46000000.0,95000.0,24,179
278,236792,T. Souček,Tomáš Souček,"CDM, CM",82,85,36000000.0,81000.0,26,192
279,240130,Éder Militão,Éder Gabriel Militão,CB,82,89,56500000.0,130000.0,23,186
280,241461,Ferran Torres,Ferran Torres García,"RW, ST",82,90,68500000.0,120000.0,21,184
281,241464,Pau Torres,Pau Francisco Torres,CB,82,89,56500000.0,35000.0,24,191
